t;x;y
0.000;-2.514E-3;9.233E-2
0.010;-2.514E-3;9.206E-2
0.020;-2.777E-3;9.180E-2
0.030;-2.777E-3;9.180E-2
0.040;-3.368E-3;9.196E-2
0.050;-3.719E-3;9.202E-2
0.060;-3.894E-3;9.179E-2
0.070;-4.070E-3;9.196E-2
0.080;-4.479E-3;9.196E-2
0.090;-4.771E-3;9.196E-2
0.100;-5.005E-3;9.191E-2
0.110;-5.531E-3;9.173E-2
0.120;-5.764E-3;9.167E-2
0.130;-6.174E-3;9.196E-2
0.140;-6.758E-3;9.167E-2
0.150;-7.284E-3;9.173E-2
0.160;-7.768E-3;9.172E-2
0.170;-8.223E-3;9.172E-2
0.180;-9.091E-3;9.176E-2
0.190;-9.669E-3;9.160E-2
0.200;-1.066E-2;9.139E-2
0.210;-1.190E-2;9.143E-2
0.220;-1.343E-2;9.098E-2
0.230;-1.500E-2;9.093E-2
0.240;-1.719E-2;9.064E-2
0.250;-1.975E-2;9.019E-2
0.260;-2.322E-2;8.961E-2
0.270;-2.682E-2;8.854E-2
0.280;-3.149E-2;8.709E-2
0.290;-3.637E-2;8.515E-2
0.300;-4.223E-2;8.263E-2
0.310;-4.827E-2;7.916E-2
0.320;-5.488E-2;7.469E-2
0.330;-6.199E-2;6.949E-2
0.340;-6.823E-2;6.300E-2
0.350;-7.480E-2;5.581E-2
0.360;-8.091E-2;4.692E-2
0.370;-8.546E-2;3.696E-2
0.380;-8.943E-2;2.614E-2
0.390;-9.228E-2;1.415E-2
0.400;-9.373E-2;1.175E-3
0.410;-9.273E-2;-1.188E-2
0.420;-9.005E-2;-2.507E-2
0.430;-8.620E-2;-3.734E-2
0.440;-8.050E-2;-4.875E-2
0.450;-7.372E-2;-5.833E-2
0.460;-6.637E-2;-6.689E-2
0.470;-5.831E-2;-7.371E-2
0.480;-4.951E-2;-7.966E-2
0.490;-3.901E-2;-8.540E-2
0.500;-2.566E-2;-9.049E-2
0.510;-1.008E-2;-9.317E-2
0.520;7.150E-3;-9.346E-2
0.530;2.434E-2;-9.028E-2
0.540;4.087E-2;-8.350E-2
0.550;5.633E-2;-7.429E-2
0.560;6.848E-2;-6.218E-2
0.570;7.827E-2;-4.920E-2
0.580;8.526E-2;-3.494E-2
0.590;8.951E-2;-1.965E-2
0.600;9.133E-2;-4.900E-3
0.610;9.046E-2;9.233E-3
0.620;8.844E-2;2.188E-2
0.630;8.455E-2;3.353E-2
0.640;7.964E-2;4.329E-2
0.650;7.439E-2;5.201E-2
0.660;6.868E-2;5.940E-2
0.670;6.286E-2;6.560E-2
0.680;5.703E-2;7.110E-2
0.690;5.091E-2;7.540E-2
0.700;4.571E-2;7.903E-2
