t;x;y
0.000000E0;-8.585470E-3;1.607137E-1
1.000000E-2;-1.049808E-2;1.604394E-1
2.000000E-2;-1.226524E-2;1.604985E-1
3.000000E-2;-1.417846E-2;1.601286E-1
4.000000E-2;-1.666522E-2;1.597146E-1
5.000000E-2;-1.915015E-2;1.595872E-1
6.000000E-2;-2.149268E-2;1.593156E-1
7.000000E-2;-2.417328E-2;1.584729E-1
8.000000E-2;-2.670719E-2;1.581548E-1
9.000000E-2;-2.934155E-2;1.570729E-1
1.000000E-1;-3.225977E-2;1.564229E-1
1.100000E-1;-3.585136E-2;1.550605E-1
1.200000E-1;-3.915908E-2;1.532664E-1
1.300000E-1;-4.365920E-2;1.517666E-1
1.400000E-1;-4.826528E-2;1.486433E-1
1.500000E-1;-5.272468E-2;1.460445E-1
1.600000E-1;-5.790858E-2;1.422082E-1
1.700000E-1;-6.295194E-2;1.379412E-1
1.800000E-1;-6.805318E-2;1.320980E-1
1.900000E-1;-7.306500E-2;1.252989E-1
2.000000E-1;-7.827618E-2;1.172112E-1
2.100000E-1;-8.225302E-2;1.079213E-1
2.200000E-1;-8.542973E-2;9.676322E-2
2.300000E-1;-8.717703E-2;8.502270E-2
2.400000E-1;-8.754424E-2;7.246121E-2
2.500000E-1;-8.547828E-2;5.940640E-2
2.600000E-1;-8.135885E-2;4.624288E-2
2.700000E-1;-7.423026E-2;3.301228E-2
2.800000E-1;-6.526805E-2;2.263620E-2
2.900000E-1;-5.433565E-2;1.406278E-2
3.000000E-1;-4.242213E-2;9.495861E-3
3.100000E-1;-3.091310E-2;8.896549E-3
3.200000E-1;-2.014662E-2;1.169376E-2
3.300000E-1;-1.318238E-2;1.752495E-2
3.400000E-1;-8.399290E-3;2.590201E-2
3.500000E-1;-7.433452E-3;3.497236E-2
3.600000E-1;-1.124271E-2;4.435996E-2
3.700000E-1;-1.825924E-2;5.271717E-2
3.800000E-1;-2.925074E-2;5.952343E-2
3.900000E-1;-4.388987E-2;6.367789E-2
4.000000E-1;-6.180612E-2;6.336288E-2
4.100000E-1;-8.181168E-2;5.756757E-2
4.200000E-1;-1.033900E-1;4.490330E-2
4.300000E-1;-1.245966E-1;2.316009E-2
4.400000E-1;-1.408870E-1;-6.687994E-3
4.500000E-1;-1.468828E-1;-4.773282E-2
4.600000E-1;-1.370900E-1;-9.246177E-2
4.700000E-1;-1.081000E-1;-1.308170E-1
4.800000E-1;-6.544492E-2;-1.538775E-1
4.900000E-1;-2.032836E-2;-1.581319E-1
5.000000E-1;1.919588E-2;-1.479713E-1
5.100000E-1;5.060030E-2;-1.301630E-1
5.200000E-1;7.456925E-2;-1.097274E-1
5.300000E-1;9.223112E-2;-8.949009E-2
5.400000E-1;1.064505E-1;-6.970846E-2
5.500000E-1;1.186042E-1;-5.172889E-2
5.600000E-1;1.293080E-1;-3.636743E-2
5.700000E-1;1.388610E-1;-2.166739E-2
5.800000E-1;1.463942E-1;-9.056326E-3
5.900000E-1;1.529108E-1;1.459322E-3
6.000000E-1;1.568830E-1;1.003267E-2
6.100000E-1;1.574045E-1;1.686061E-2
6.200000E-1;1.559127E-1;2.260274E-2
6.300000E-1;1.520722E-1;2.711787E-2
6.400000E-1;1.464125E-1;3.102365E-2
6.500000E-1;1.402637E-1;3.316503E-2
6.600000E-1;1.333056E-1;3.574154E-2
6.700000E-1;1.257667E-1;3.712750E-2
6.800000E-1;1.177898E-1;3.727421E-2
6.900000E-1;1.098117E-1;3.722984E-2
7.000000E-1;1.011597E-1;3.637769E-2
7.100000E-1;9.264170E-2;3.409154E-2
7.200000E-1;8.283214E-2;3.152705E-2
7.300000E-1;7.275254E-2;2.884073E-2
7.400000E-1;6.188889E-2;2.587696E-2
7.500000E-1;5.079677E-2;2.276297E-2
7.600000E-1;3.872271E-2;2.026198E-2
7.700000E-1;2.574546E-2;1.882850E-2
7.800000E-1;1.213238E-2;1.876415E-2
7.900000E-1;-7.534756E-4;1.975685E-2
8.000000E-1;-1.408338E-2;2.245872E-2
8.100000E-1;-2.641943E-2;2.640552E-2
8.200000E-1;-3.806544E-2;3.152336E-2
8.300000E-1;-4.845922E-2;3.678484E-2
8.400000E-1;-5.775025E-2;4.253218E-2
8.500000E-1;-6.617187E-2;4.785685E-2
8.600000E-1;-7.387283E-2;5.321481E-2
8.700000E-1;-8.055613E-2;5.761829E-2
8.800000E-1;-8.712810E-2;6.164187E-2
8.900000E-1;-9.344292E-2;6.437457E-2
9.000000E-1;-9.908084E-2;6.623082E-2
9.100000E-1;-1.045729E-1;6.717609E-2
9.200000E-1;-1.105648E-1;6.706285E-2
9.300000E-1;-1.164107E-1;6.603864E-2
9.400000E-1;-1.220407E-1;6.323088E-2
9.500000E-1;-1.280164E-1;5.970489E-2
9.600000E-1;-1.343772E-1;5.527134E-2
9.700000E-1;-1.407052E-1;5.004129E-2
9.800000E-1;-1.466626E-1;4.348172E-2
9.900000E-1;-1.525898E-1;3.570857E-2
1.000000E0;-1.585238E-1;2.687376E-2
1.010000E0;-1.630580E-1;1.753702E-2
1.020000E0;-1.667270E-1;7.133027E-3
1.030000E0;-1.683917E-1;-4.118028E-3
1.040000E0;-1.677125E-1;-1.644583E-2
1.050000E0;-1.642699E-1;-2.951181E-2
1.060000E0;-1.576916E-1;-4.438006E-2
1.070000E0;-1.474326E-1;-6.010765E-2
1.080000E0;-1.345913E-1;-7.694160E-2
1.090000E0;-1.186745E-1;-9.500675E-2
1.100000E0;-9.885038E-2;-1.141694E-1
1.110000E0;-7.365751E-2;-1.322940E-1
1.120000E0;-4.314160E-2;-1.481471E-1
1.130000E0;-8.192478E-3;-1.583448E-1
1.140000E0;3.158547E-2;-1.597260E-1
1.150000E0;7.068911E-2;-1.491991E-1
1.160000E0;1.037545E-1;-1.270512E-1
1.170000E0;1.274851E-1;-9.728289E-2
1.180000E0;1.408418E-1;-6.305111E-2
1.190000E0;1.438467E-1;-2.928913E-2
1.200000E0;1.396433E-1;8.728566E-4
1.210000E0;1.296215E-1;2.678248E-2
1.220000E0;1.165619E-1;4.724225E-2
1.230000E0;1.014384E-1;6.358644E-2
1.240000E0;8.574946E-2;7.537647E-2
1.250000E0;6.971884E-2;8.405866E-2
1.260000E0;5.500359E-2;8.881809E-2
1.270000E0;4.096956E-2;9.110658E-2
1.280000E0;2.793743E-2;9.076121E-2
1.290000E0;1.633960E-2;8.831542E-2
1.300000E0;5.640560E-3;8.387988E-2
1.310000E0;-2.923357E-3;7.792926E-2
1.320000E0;-9.996953E-3;7.025321E-2
1.330000E0;-1.423838E-2;6.105760E-2
1.340000E0;-1.574835E-2;5.136188E-2
1.350000E0;-1.479253E-2;4.154310E-2
1.360000E0;-1.088080E-2;3.277777E-2
1.370000E0;-4.441077E-3;2.522952E-2
1.380000E0;3.887001E-3;1.949227E-2
1.390000E0;1.389687E-2;1.680063E-2
1.400000E0;2.488770E-2;1.656926E-2
1.410000E0;3.503920E-2;1.923881E-2
1.420000E0;4.402759E-2;2.448964E-2
1.430000E0;5.248977E-2;3.129884E-2
1.440000E0;5.902787E-2;3.908558E-2
1.450000E0;6.401652E-2;4.774018E-2
1.460000E0;6.777229E-2;5.645632E-2
1.470000E0;6.964864E-2;6.475554E-2
1.480000E0;7.055469E-2;7.225667E-2
1.490000E0;7.076130E-2;7.938695E-2
1.500000E0;7.042483E-2;8.544828E-2
1.510000E0;6.965391E-2;9.065447E-2
1.520000E0;6.812339E-2;9.447138E-2
1.530000E0;6.723319E-2;9.780159E-2
1.540000E0;6.595666E-2;9.941841E-2
1.550000E0;6.473237E-2;1.008204E-1
1.560000E0;6.387516E-2;1.009332E-1
1.570000E0;6.273884E-2;9.933181E-2
1.580000E0;6.235285E-2;9.767204E-2
1.590000E0;6.115397E-2;9.467695E-2
1.600000E0;6.000080E-2;9.044829E-2
1.610000E0;5.916453E-2;8.546689E-2
1.620000E0;5.697919E-2;7.915363E-2
1.630000E0;5.446767E-2;7.214539E-2
1.640000E0;5.125360E-2;6.428371E-2
1.650000E0;4.637218E-2;5.562842E-2
1.660000E0;3.988151E-2;4.687620E-2
1.670000E0;3.141142E-2;3.883376E-2
1.680000E0;2.181808E-2;3.122749E-2
1.690000E0;1.024635E-2;2.449185E-2
1.700000E0;-3.078631E-3;2.028764E-2
1.710000E0;-1.719930E-2;1.742907E-2
1.720000E0;-3.119485E-2;1.735798E-2
1.730000E0;-4.518214E-2;1.857375E-2
1.740000E0;-5.878103E-2;2.182463E-2
1.750000E0;-7.092877E-2;2.560240E-2
1.760000E0;-8.237499E-2;3.007275E-2
1.770000E0;-9.328400E-2;3.470052E-2
1.780000E0;-1.031770E-1;3.889280E-2
1.790000E0;-1.122698E-1;4.243650E-2
1.800000E0;-1.209898E-1;4.560245E-2
1.810000E0;-1.285380E-1;4.752761E-2
1.820000E0;-1.365179E-1;4.902657E-2
1.830000E0;-1.437021E-1;4.917990E-2
1.840000E0;-1.499821E-1;4.820138E-2
1.850000E0;-1.561053E-1;4.657841E-2
1.860000E0;-1.605739E-1;4.376516E-2
1.870000E0;-1.628496E-1;4.007990E-2
1.880000E0;-1.629390E-1;3.450389E-2
1.890000E0;-1.606836E-1;2.666075E-2
1.900000E0;-1.561339E-1;1.703340E-2
1.910000E0;-1.502088E-1;4.501690E-3
1.920000E0;-1.419385E-1;-1.024353E-2
1.930000E0;-1.327161E-1;-2.703245E-2
1.940000E0;-1.232339E-1;-4.510994E-2
1.950000E0;-1.111959E-1;-6.599213E-2
1.960000E0;-9.691758E-2;-8.871179E-2
1.970000E0;-7.734304E-2;-1.133422E-1
1.980000E0;-5.019414E-2;-1.358227E-1
1.990000E0;-1.411252E-2;-1.533737E-1
